Ref,Val,Package,PosX,PosY,Rot,Side
"C186","1uF","C_0402_1005Metric",150.992500,-191.395000,-90.000000,bottom
"C187","1uF","C_0402_1005Metric",169.280000,-175.002500,90.000000,bottom
"C188","1uF","C_0402_1005Metric",146.402500,-160.680000,-90.000000,bottom
"C189","1uF","C_0402_1005Metric",150.982500,-193.655000,90.000000,bottom
"C190","1uF","C_0402_1005Metric",169.280000,-172.732500,-90.000000,bottom
"C191","1uF","C_0402_1005Metric",146.392500,-162.960000,90.000000,bottom
"C192","1uF","C_0402_1005Metric",154.410000,-185.420000,90.000000,bottom
"C193","1uF","C_0402_1005Metric",166.210000,-171.040000,180.000000,bottom
"C194","1uF","C_0402_1005Metric",153.610000,-154.740000,90.000000,bottom
"C195","1uF","C_0402_1005Metric",153.300000,-185.420000,90.000000,bottom
"C196","1uF","C_0402_1005Metric",154.480000,-172.690000,90.000000,bottom
"C197","1uF","C_0402_1005Metric",154.600000,-154.740000,90.000000,bottom
"C201","0.1uF","C_0402_1005Metric",164.338000,-194.790000,90.000000,bottom
"C202","0.1uF","C_0402_1005Metric",163.970000,-181.650000,90.000000,bottom
"C203","0.1uF","C_0402_1005Metric",163.935000,-167.930000,90.000000,bottom
"C207","1uF","C_0402_1005Metric",163.268000,-194.790000,90.000000,bottom
"C208","1uF","C_0402_1005Metric",162.880000,-181.650000,90.000000,bottom
"C209","1uF","C_0402_1005Metric",162.880000,-167.930000,90.000000,bottom
"C210","100uF","C_1206_3216Metric",166.128000,-196.126000,90.000000,bottom
"C211","100uF","C_1206_3216Metric",165.990000,-181.935000,90.000000,bottom
"C212","100uF","C_1206_3216Metric",165.980000,-168.060000,90.000000,bottom
"C213","1uF","C_0402_1005Metric",196.120000,-162.050000,90.000000,bottom
"C214","1uF","C_0402_1005Metric",171.990000,-172.490000,-90.000000,bottom
"C215","1uF","C_0402_1005Metric",169.272500,-187.030000,-90.000000,bottom
"C216","1uF","C_0402_1005Metric",196.120000,-159.770000,-90.000000,bottom
